t,V
0,0.0
39,8.099999999999994e-06
131,2.6900000000000003e-05
184,3.829999999999998e-05
214,4.409999999999999e-05
237,4.8099999999999977e-05
250,5.1099999999999995e-05
299,5.9199999999999975e-05
322,6.549999999999999e-05
359,7.259999999999995e-05
397,8.019999999999997e-05
429,8.659999999999996e-05
452,9.019999999999997e-05
509,0.00010099999999999999
543,0.00010789999999999997
597,0.0001183
644,0.00012739999999999998
671,0.0001313
748,0.00014469999999999997
793,0.00015249999999999997
834,0.00016040000000000005
881,0.00016879999999999998
910,0.0001738
982,0.00018610000000000002
1050,0.0001988
1108,0.0002071
1144,0.0002143
1196,0.00022240000000000004
1256,0.00023280000000000002
1314,0.0002435
1379,0.0002535
1468,0.0002675
1552,0.00028119999999999995
1622,0.00029219999999999995
1698,0.0003038
1769,0.00031549999999999997
1831,0.0003247
1882,0.0003324
1952,0.0003427
2016,0.0003522
2090,0.00036310000000000004
2176,0.0003758
2232,0.0003833
2350,0.00040229999999999997
2415,0.0004104
2460,0.00041640000000000004
2551,0.00042889999999999996
2621,0.00043900000000000005
2685,0.00044779999999999993
2741,0.0004554
2906,0.0004774
2978,0.00048740000000000003
3041,0.0004986000000000001
3160,0.0005143000000000001
3278,0.0005295
3347,0.0005383000000000001
3491,0.0005559000000000001
3595,0.0005699000000000001
3666,0.0005779000000000001
3771,0.0005901000000000002
3868,0.0006039000000000001
3904,0.0006069000000000002
3960,0.0006126000000000001
4011,0.0006191000000000001
4109,0.0006266000000000002
4159,0.0006311000000000002
4204,0.0006363000000000002
4254,0.0006421000000000002
4311,0.0006481000000000002
4339,0.0006530000000000002
4409,0.0006605000000000002
4447,0.0006650000000000001
4489,0.0006696000000000001
4539,0.0006750000000000001
4579,0.0006808000000000001
4629,0.0006853000000000001
4672,0.0006902000000000002
4729,0.0006963000000000002
4781,0.0007026000000000002
4830,0.0007082000000000002
4844,0.0007137000000000002
4878,0.0007164000000000002
4936,0.0007201000000000002
4969,0.0007232000000000002
4994,0.0007267000000000002
5087,0.0007352000000000002
5145,0.0007429000000000002
5173,0.0007457000000000002
5231,0.0007519000000000002
5279,0.0007577000000000001
5329,0.0007626000000000001
5359,0.0007663000000000002
5454,0.0007743000000000002
5504,0.0007822000000000001
5537,0.0007845000000000003
5585,0.0007898000000000002
5629,0.0007958000000000002
5700,0.0008022000000000002
5729,0.0008058000000000002
5813,0.0008130000000000002
5879,0.0008193000000000002
5966,0.0008307000000000002
6022,0.0008357000000000002
6124,0.0008457000000000002
6289,0.0008619000000000002
6409,0.0008739000000000003
6459,0.0008798000000000001
6523,0.0008861000000000002
6668,0.0008996000000000003
6736,0.0009073000000000003
6896,0.0009228000000000002
6938,0.0009271000000000003
7088,0.0009426000000000004
7272,0.0009601000000000003
7300,0.0009635000000000003
7359,0.0009679000000000002
